Name,Type,Category,Power,PP,Accuracy,Description
"10,000,000 Volt Thunderbolt",Electric,Special,1,195,—,Pikachu-exclusive Z-Move. High critical hit ratio.
Absorb,Grass,Special,25,20,100%,User recovers half the HP inflicted on opponent.
Accelerock,Rock,Physical,20,40,100%,User attacks first.
Acid,Poison,Special,30,40,100%,May lower opponent's Special Defense.
Acid Armor,Poison,Status,20,—,—,Sharply raises user's Defense.
Acid Downpour,Poison,Physical,1,—,—,Poison type Z-Move.
Acid Spray,Poison,Special,20,40,100%,Sharply lowers opponent's Special Defense.
Acrobatics,Flying,Physical,15,55,100%,Stronger when the user does not have a held item.
Acupressure,Normal,Status,30,—,—,Sharply raises a random stat.
Aerial Ace,Flying,Physical,20,60,—,Ignores Accuracy and Evasiveness.
Aeroblast,Flying,Special,5,100,95%,High critical hit ratio.
After You,Normal,Status,15,—,—,Gives target priority in the next turn.
Agility,Psychic,Status,30,—,—,Sharply raises user's Speed.
Air Cutter,Flying,Special,25,60,95%,High critical hit ratio.
Air Slash,Flying,Special,15,75,95%,May cause flinching.
All-Out Pummeling,Fighting,Physical,1,—,—,Fighting type Z-Move.
Ally Switch,Psychic,Status,15,—,—,User switches with opposite teammate.
Amnesia,Psychic,Status,20,—,—,Sharply raises user's Special Defense.
Anchor Shot,Steel,Physical,20,80,100%,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Ancient Power,Rock,Special,5,60,100%,May raise all user's stats at once.
Apple Acid,Grass,Special,10,80,100%,Lowers target's Special Defense.
Aqua Jet,Water,Physical,20,40,100%,User attacks first.
Aqua Ring,Water,Status,20,—,—,Restores a little HP each turn.
Aqua Tail,Water,Physical,10,90,90%,
Arm Thrust,Fighting,Physical,20,15,100%,Hits 2-5 times in one turn.
Aromatherapy,Grass,Status,5,—,—,Cures all status problems in your party.
Aromatic Mist,Fairy,Status,20,—,—,Raises Special Defense of an ally.
Assist,Normal,Status,20,—,—,User performs a move known by its allies at random.
Assurance,Dark,Physical,10,60,100%,Power doubles if opponent already took damage in the same turn.
Astonish,Ghost,Physical,15,30,100%,May cause flinching.
Attack Order,Bug,Physical,15,90,100%,High critical hit ratio.
Attract,Normal,Status,15,—,100%,"If opponent is the opposite gender, it's less likely to attack."
Aura Sphere,Fighting,Special,20,80,—,Ignores Accuracy and Evasiveness.
Aura Wheel,Electric,Physical,10,110,100%,Changes type based on Morpeko's Mode.
Aurora Beam,Ice,Special,20,65,100%,May lower opponent's Attack.
Aurora Veil,Ice,Status,20,—,—,Halves damage from Physical and Special attacks for five turns.
Autotomize,Steel,Status,15,—,—,Reduces weight and sharply raises Speed.
Avalanche,Ice,Physical,10,60,100%,Power doubles if user took damage first.
Baby-Doll Eyes,Fairy,Status,30,—,100%,Always goes first. Lowers the target's attack.
Baddy Bad,Dark,Special,15,90,100%,Reduces damage from Physical attacks.
Baneful Bunker,Poison,Status,10,—,—,Protects the user and poisons opponent on contact.
Barrage,Normal,Physical,20,15,85%,Hits 2-5 times in one turn.
Barrier,Psychic,Status,20,—,—,Sharply raises user's Defense.
Baton Pass,Normal,Status,40,—,—,User switches out and gives stat changes to the incoming Pokémon.
Beak Blast,Flying,Physical,15,100,100%,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn."
Beat Up,Dark,Physical,10,—,100%,Each Pokémon in your party attacks.
Bloom Doom,Grass,Special,1,—,—,Grass type Z-Move.
Blue Flare,Fire,Special,5,130,85%,May burn opponent.
Body Press,Fighting,Physical,10,80,100%,"The higher the user's Defense, the stronger the attack."
Body Slam,Normal,Physical,15,85,100%,May paralyze opponent.
Bolt Beak,Electric,Physical,10,85,100%,"If the user attacks before the target, the power of this move is doubled."
Bolt Strike,Electric,Physical,5,130,85%,May paralyze opponent.
Bone Club,Ground,Physical,20,65,85%,May cause flinching.
Bone Rush,Ground,Physical,10,25,90%,Hits 2-5 times in one turn.
Bonemerang,Ground,Physical,10,50,90%,Hits twice in one turn.
Boomburst,Normal,Special,10,140,100%,Hits all adjacent Pokémon.
Bounce,Flying,Physical,5,85,85%,"Springs up on first turn, attacks on second. May paralyze opponent."
