Name,Description,Accuracy,Category,PP,Power,Type
Million Volt Thunderbolt,Pikachu-exclusive Z-Move High critical hit ratio,NULL,Special,195,1,Electric
Absorb,User recovers half the HP inflicted on opponent,100,Special,20,25,Grass
Accelerock,User attacks first,100,Physical,40,20,Rock
Acid,May lower opponent's Special Defense,100,Special,40,30,Poison
Acid Armor,Sharply raises user's Defense,NULL,Status,NULL,20,Poison
Acid Downpour,Poison type Z-Move,NULL,Physical,NULL,1,Poison
Acid Spray,Sharply lowers opponent's Special Defense,100,Special,40,20,Poison
Acrobatics,Stronger when the user does not have a held item,100,Physical,55,15,Flying
Acupressure,Sharply raises a random stat,NULL,Status,NULL,30,Normal
Aerial Ace,Ignores Accuracy and Evasiveness,NULL,Physical,60,20,Flying
Aeroblast,High critical hit ratio,95,Special,100,5,Flying
After You,Gives target priority in the next turn,NULL,Status,NULL,15,Normal
Agility,Sharply raises user's Speed,NULL,Status,NULL,30,Psychic
Air Cutter,High critical hit ratio,95,Special,60,25,Flying
Air Slash,May cause flinching,95,Special,75,15,Flying
All-Out Pummeling,Fighting type Z-Move,NULL,Physical,NULL,1,Fighting
Ally Switch,User switches with opposite teammate,NULL,Status,NULL,15,Psychic
Amnesia,Sharply raises user's Special Defense,NULL,Status,NULL,20,Psychic
Anchor Shot,The user entangles the target with its anchor chain while attacking The target becomes unable to flee,100,Physical,80,20,Steel
Ancient Power,May raise all user's stats at once,100,Special,60,5,Rock
Apple Acid,Lowers target's Special Defense,100,Special,80,10,Grass
Aqua Jet,User attacks first,100,Physical,40,20,Water
Aqua Ring,Restores a little HP each turn,NULL,Status,NULL,20,Water
Aqua Tail, NO DESCRIPTION,90,Physical,90,10,Water
Arm Thrust,Hits 2-5 times in one turn,100,Physical,15,20,Fighting
Aromatherapy,Cures all status problems in your party,NULL,Status,NULL,5,Grass
Aromatic Mist,Raises Special Defense of an ally,NULL,Status,NULL,20,Fairy
Assist,User performs a move known by its allies at random,NULL,Status,NULL,20,Normal
Assurance,Power doubles if opponent already took damage in the same turn,100,Physical,60,10,Dark
Astonish,May cause flinching,100,Physical,30,15,Ghost
Attack Order,High critical hit ratio,100,Physical,90,15,Bug
Attract,"If opponent is the opposite gender, it's less likely to attack",100,Status,NULL,15,Normal
Aura Sphere,Ignores Accuracy and Evasiveness,NULL,Special,80,20,Fighting
Aura Wheel,Changes type based on Morpeko's Mode,100,Physical,110,10,Electric
Aurora Beam,May lower opponent's Attack,100,Special,65,20,Ice
Aurora Veil,Halves damage from Physical and Special attacks for five turns,NULL,Status,NULL,20,Ice
Autotomize,Reduces weight and sharply raises Speed,NULL,Status,NULL,15,Steel
Avalanche,Power doubles if user took damage first,100,Physical,60,10,Ice
Baby-Doll Eyes,Always goes first Lowers the target's attack,100,Status,NULL,30,Fairy
Baddy Bad,Reduces damage from Physical attacks,100,Special,90,15,Dark
Baneful Bunker,Protects the user and poisons opponent on contact,NULL,Status,NULL,10,Poison
Barrage,Hits 2-5 times in one turn,85,Physical,15,20,Normal
Barrier,Sharply raises user's Defense,NULL,Status,NULL,20,Psychic
Baton Pass,User switches out and gives stat changes to the incoming Pokémon,NULL,Status,NULL,40,Normal
Beak Blast,"The user first heats up its beak, and then it attacks the target Making direct contact with the Pokémon while it's heating up its beak results in a burn",100,Physical,100,15,Flying
Beat Up,Each Pokémon in your party attacks,100,Physical,NULL,10,Dark
Bloom Doom,Grass type Z-Move,NULL,Special,NULL,1,Grass
Blue Flare,May burn opponent,85,Special,130,5,Fire
Body Press,"The higher the user's Defense, the stronger the attack",100,Physical,80,10,Fighting
Body Slam,May paralyze opponent,100,Physical,85,15,Normal
Bolt Beak,"If the user attacks before the target, the power of this move is doubled",100,Physical,85,10,Electric
Bolt Strike,May paralyze opponent,85,Physical,130,5,Electric
Bone Club,May cause flinching,85,Physical,65,20,Ground
Bone Rush,Hits 2-5 times in one turn,90,Physical,25,10,Ground
Bonemerang,Hits twice in one turn,90,Physical,50,10,Ground
Boomburst,Hits all adjacent Pokémon,100,Special,140,10,Normal
Bounce,"Springs up on first turn, attacks on second May paralyze opponent",85,Physical,85,5,Flying
Bouncy Bubble,User recovers half the HP inflicted on opponent,100,Special,90,15,Water
Branch Poke, NO DESCRIPTION,100,Physical,40,40,Grass
Brave Bird,User receives recoil damage,100,Physical,120,15,Flying
Breaking Swipe,Hits multiple opponents and lowers their attack,100,Physical,60,15,Dragon
Breakneck Blitz,Normal type Z-Move,NULL,Physical,NULL,1,Normal
Brick Break,Breaks through Reflect and Light Screen barriers,100,Physical,75,15,Fighting
Brine,Power doubles if opponent's HP is less than 50,100,Special,65,10,Water
Brutal Swing,The user swings its body around violently to inflict damage on everything in its vicinity,100,Physical,60,20,Dark
Bubble,May lower opponent's Speed,100,Special,40,30,Water
Bubble Beam,May lower opponent's Speed,100,Special,65,20,Water
Bug Bite,Receives the effect from the opponent's held berry,100,Physical,60,20,Bug
Bug Buzz,May lower opponent's Special Defense,100,Special,90,10,Bug
Bulk Up,Raises user's Attack and Defense,NULL,Status,NULL,20,Fighting
Bulldoze,Lowers opponent's Speed,100,Physical,60,20,Ground
Bullet Punch,User attacks first,100,Physical,40,30,Steel
Bullet Seed,Hits 2-5 times in one turn,100,Physical,25,30,Grass
Burn Up,"To inflict massive damage, the user burns itself out After using this move, the user will no longer be Fire type",100,Special,130,5,Fire
Burning Jealousy,"Hits all opponents, and burns any that have had their stats boosted",100,Special,70,5,Fire
Buzzy Buzz,Paralyzes the opponent,100,Special,90,15,Electric
Calm Mind,Raises user's Special Attack and Special Defense,NULL,Status,NULL,20,Psychic
Camouflage,Changes user's type according to the location,NULL,Status,NULL,20,Normal
Captivate,Sharply lowers opponent's Special Attack if opposite gender,100,Status,NULL,20,Normal
Catastropika,Pikachu-exclusive Z-Move,NULL,Physical,210,1,Electric
Celebrate,The Pokémon congratulates you on your special day No battle effect,NULL,Status,NULL,40,Normal
Charge,Raises user's Special Defense and next Electric move's power increases,NULL,Status,NULL,20,Electric
Charge Beam,May raise user's Special Attack,90,Special,50,10,Electric
Charm,Sharply lowers opponent's Attack,100,Status,NULL,20,Fairy
Chatter,Confuses opponent,100,Special,65,20,Flying
Chip Away,Ignores opponent's stat changes,100,Physical,70,20,Normal
Circle Throw,"In battles, the opponent switches In the wild, the Pokémon runs",90,Physical,60,10,Fighting
Clamp,"Traps opponent, damaging them for 4-5 turns",85,Physical,35,15,Water
Clanging Scales,Lowers user's Defense,100,Special,110,5,Dragon
Clangorous Soul,Raises all user's stats but loses HP,100,Status,NULL,5,Dragon
Clangorous Soulblaze,Kommo-o exclusive Z-Move,NULL,Special,185,1,Dragon
Clear Smog,Removes all of the target's stat changes,NULL,Special,50,15,Poison
Close Combat,Lowers user's Defense and Special Defense,100,Physical,120,5,Fighting
Coaching,Boosts Attack and Defense of a teammate,NULL,Status,NULL,10,Fighting
Coil,"Raises user's Attack, Defense and Accuracy",NULL,Status,NULL,20,Poison
Comet Punch,Hits 2-5 times in one turn,85,Physical,18,15,Normal
Confide,Lowers opponent's Special Attack,NULL,Status,NULL,20,Normal
Confuse Ray,Confuses opponent,100,Status,NULL,10,Ghost
Confusion,May confuse opponent,100,Special,50,25,Psychic
Constrict,May lower opponent's Speed by one stage,100,Physical,10,35,Normal
Continental Crush,Rock type Z-Move,NULL,Special,NULL,1,Rock
