,Name,Pokémon,Description,Gen.
0,Adaptability,13,Powers up moves of the same type.,4
1,Aerilate,2,Turns Normal-type moves into Flying-type moves.,6
2,Aftermath,8,Damages the attacker landing the finishing hit.,4
3,Air Lock,1,Eliminates the effects of weather.,3
4,Analytic,12,Boosts move power when the Pokémon moves last.,5
5,Anger Point,9,Maxes Attack after taking a critical hit.,4
6,Anticipation,15,Senses a foe's dangerous moves.,4
7,Arena Trap,3,Prevents the foe from fleeing.,3
8,Aroma Veil,4,Protects allies from attacks that limit their move choices.,6
9,Aura Break,2,Reduces power of Dark- and Fairy-type moves.,6
10,Bad Dreams,1,Reduces a sleeping foe's HP.,4
11,Ball Fetch,1,Retrieves a Poké Ball from a failed throw.,8
12,Battery,1,Raises power of teammates' Special moves.,7
13,Battle Armor,11,The Pokémon is protected against critical hits.,3
14,Battle Bond,1,Transform into Ash-Greninja after causing opponent to faint.,7
15,Beast Boost,11,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,7
16,Berserk,2,Raises Special Attack when HP drops below half.,7
17,Big Pecks,14,Protects the Pokémon from Defense-lowering attacks.,5
18,Blaze,26,Powers up Fire-type moves in a pinch.,3
19,Bulletproof,9,Protects the Pokémon from ball and bomb moves.,6
20,Cheek Pouch,5,Restores additional HP when a Berry is consumed.,6
21,Chlorophyll,35,Boosts the Pokémon's Speed in sunshine.,3
22,Clear Body,16,Prevents other Pokémon from lowering its stats.,3
23,Cloud Nine,7,Eliminates the effects of weather.,3
24,Color Change,1,Changes the Pokémon's type to the foe's move.,3
25,Comatose,1,The Pokémon is always asleep but can still attack.,7
26,Competitive,10,Raises Special Attack when the Pokémon's stats are lowered.,6
27,Compound Eyes,11,The Pokémon's accuracy is boosted.,3
28,Contrary,9,Makes stat changes have an opposite effect.,5
29,Corrosion,2,The Pokémon can poison Steel and Poison types.,7
30,Cotton Down,2,Lowers foe's Speed when hit.,8
31,Cursed Body,13,May disable a move used on the Pokémon.,5
32,Cute Charm,14,Contact with the Pokémon may cause infatuation.,3
33,Damp,18,Prevents the use of self-destructing moves.,3
34,Dancer,4,Copies the foe's Dance moves.,7
35,Dark Aura,1,Raises power of Dark type moves for all Pokémon in battle.,6
36,Dauntless Shield,2,Boosts Defense in battle.,8
37,Dazzling,1,Protects the Pokémon from high-priority moves.,7
38,Defeatist,2,Lowers stats when HP drops below half.,5
39,Defiant,16,When its stats are lowered its Attack increases.,5
40,Delta Stream,1,Creates strong winds when the ability activates.,6
41,Desolate Land,1,Turns the sunlight extremely harsh when the ability activates.,6
42,Disguise,1,Avoids damage for one turn.,7
43,Download,4,Adjusts power according to a foe's defenses.,4
44,Drizzle,3,The Pokémon makes it rain when it enters a battle.,3
45,Drought,5,Turns the sunlight harsh when the Pokémon enters a battle.,3
46,Dry Skin,7,Reduces HP if it is hot. Water restores HP.,4
47,Early Bird,15,The Pokémon awakens quickly from sleep.,3
48,Effect Spore,11,Contact may poison or cause paralysis or sleep.,3
49,Electric Surge,2,The Pokémon creates an Electric Terrain when it enters a battle.,7
50,Emergency Exit,1,Switches out when HP falls below 50%.,7
51,Fairy Aura,1,Raises power of Fairy type moves for all Pokémon in battle.,6
52,Filter,3,Reduces damage from super-effective attacks.,4
53,Flame Body,20,Contact with the Pokémon may burn the attacker.,3
54,Flare Boost,2,Powers up special attacks when burned.,5
55,Flash Fire,22,It powers up Fire-type moves if it's hit by one.,3
56,Flower Gift,1,Powers up party Pokémon when it is sunny.,4
57,Flower Veil,4,Prevents lowering of ally Grass-type Pokémon's stats.,6
58,Fluffy,4,"Halves damage from contact moves, but doubles damage from Fire-type moves.",7
59,Forecast,4,Castform transforms with the weather.,3
60,Forewarn,6,Determines what moves a foe has.,4
61,Friend Guard,8,Reduces damage done to allies.,5
62,Frisk,31,The Pokémon can check a foe's held item.,4
63,Full Metal Body,1,Prevents other Pokémon from lowering its stats.,7
64,Fur Coat,2,Reduces damage from physical moves.,6
65,Gale Wings,3,Gives priority to Flying-type moves.,6
66,Galvanize,3,Normal-type moves become Electric-type moves and their power boosted.,7
67,Gluttony,31,Encourages the early use of a held Berry.,4
68,Gooey,3,Contact with the Pokémon lowers the attacker's Speed stat.,6
69,Gorilla Tactics,2,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,8
70,Grass Pelt,2,Boosts the Defense stat in Grassy Terrain.,6
71,Grassy Surge,4,The Pokémon creates a Grassy Terrain when it enters a battle.,7
72,Gulp Missile,1,Returns with a catch in its mouth after using Surf or Dive.,8
73,Guts,22,Boosts Attack if there is a status problem.,3
74,Harvest,6,May create another Berry after one is used.,5
75,Healer,11,May heal an ally's status conditions.,5
76,Heatproof,3,Weakens the power of Fire-type moves.,4
77,Heavy Metal,8,Doubles the Pokémon's weight.,5
78,Honey Gather,4,The Pokémon may gather Honey from somewhere.,4
79,Huge Power,6,Raises the Pokémon's Attack stat.,3
80,Hunger Switch,2,Changes forms each turn.,8
81,Hustle,23,"Boosts the Attack stat, but lowers accuracy.",3
82,Hydration,22,Heals status problems if it is raining.,4
83,Hyper Cutter,11,Prevents other Pokémon from lowering Attack stat.,3
